id,date,value
159921173,2024-07-04 09:06:20+00:00,4387037184.0
159921173,2024-07-05 09:05:29+00:00,5546364928.0
159921173,2024-07-06 09:05:50+00:00,5712695296.0
159921173,2024-07-07 09:06:48+00:00,5712719872.0
159921173,2024-07-08 09:07:21+00:00,5712777216.0
159921173,2024-07-09 09:06:51+00:00,5729611776.0
159921173,2024-07-10 09:05:35+00:00,5729710080.0
159921173,2024-07-11 11:49:43+00:00,5746343936.0
159921173,2024-07-12 09:11:56+00:00,5746380800.0
159921173,2024-07-13 09:10:14+00:00,5763313664.0
159921173,2024-07-14 09:08:36+00:00,5763215360.0
159921173,2024-07-15 09:08:06+00:00,5763239936.0
159921173,2024-07-16 09:06:58+00:00,5780058112.0
159921173,2024-07-17 09:06:59+00:00,5780107264.0
159921173,2024-07-18 09:09:47+00:00,5797007360.0
159921173,2024-07-19 09:07:31+00:00,5797048320.0
159921173,2024-07-20 09:08:46+00:00,5796827136.0
159921173,2024-07-22 09:08:36+00:00,5813661696.0
159921173,2024-07-23 09:09:59+00:00,5830914048.0
159921173,2024-07-24 09:12:21+00:00,5830971392.0
159921173,2024-07-25 09:09:39+00:00,5847797760.0
159921173,2024-07-26 09:10:21+00:00,5847912448.0
159921173,2024-07-28 09:12:49+00:00,5864775680.0
159921173,2024-07-30 09:10:59+00:00,5881413632.0
159921173,2024-07-31 09:14:15+00:00,5898223616.0
159921173,2024-08-12 09:30:29+00:00,5999484928.0
159921173,2024-08-13 09:30:30+00:00,6016311296.0
159921173,2024-08-16 09:30:30+00:00,6049726464.0
159921173,2024-08-17 09:30:28+00:00,6066888704.0
159921173,2024-08-18 09:30:27+00:00,6066696192.0
159921173,2024-08-19 09:30:27+00:00,6083514368.0
159921173,2024-08-20 09:30:27+00:00,6100340736.0
159921173,2024-08-21 09:30:33+00:00,6117371904.0
159921173,2024-08-22 09:30:30+00:00,6134394880.0
159921173,2024-08-23 09:30:34+00:00,6167941120.0
159921173,2024-08-24 09:30:28+00:00,6218506240.0
159921173,2024-08-25 09:30:31+00:00,6268846080.0
159921173,2024-08-26 09:30:37+00:00,6285664256.0
159921173,2024-08-27 09:30:31+00:00,6319411200.0
159921173,2024-08-28 09:30:30+00:00,6353129472.0
159921173,2024-08-29 12:28:44+00:00,6403665920.0
159921173,2024-08-30 12:21:57+00:00,6437531648.0
159921173,2024-08-31 09:30:31+00:00,6471110656.0
159921173,2024-09-01 09:30:25+00:00,6471061504.0
159921173,2024-09-02 09:30:32+00:00,6471077888.0
159921173,2024-09-03 12:06:01+00:00,6488014848.0
159921173,2024-09-04 09:30:31+00:00,6521667584.0
159921173,2024-09-05 09:30:07+00:00,6555238400.0
159921173,2024-09-06 10:48:14+00:00,6622232576.0
159921173,2024-09-07 09:30:07+00:00,6656114688.0
159921173,2024-09-08 09:30:06+00:00,6656040960.0
159921173,2024-09-09 09:30:05+00:00,6672646144.0
159921173,2024-09-10 09:30:06+00:00,6706544640.0
159921173,2024-09-11 09:30:03+00:00,6740910080.0
159921173,2024-09-12 09:30:10+00:00,6791290880.0
159921173,2024-09-13 09:30:07+00:00,6808039424.0
159921173,2024-09-14 09:30:04+00:00,6875070464.0
159921173,2024-09-15 09:30:05+00:00,6925574144.0
159921173,2024-09-16 09:30:07+00:00,6976081920.0
159921173,2024-09-17 09:30:09+00:00,7026274304.0
159921173,2024-09-18 09:30:06+00:00,7093706752.0
159921173,2024-09-19 09:30:06+00:00,7177797632.0
159921173,2024-09-20 09:30:08+00:00,7219601408.0
159921173,2024-09-21 09:30:05+00:00,7253262336.0
